recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,author_deck_playtime_at_review,appid,fetch_date,total_reviews
170781433,schinese,"游戏很好，纵使新更新越来越屎，我也并不觉得生气，而是惋惜
这个游戏给我的意义十分巨大，将近十年前，我的电脑还很差，能拿来玩游戏的只有一台小小的Xbox 360老古董，我记得上面有许多游戏，而玩的最多的偏偏是GTA5
那时我还很小，一个任务得打半天，连警星都不会消，我舅舅便会来帮我，他好厉害啊，明明我打了好长时间的任务他却能很快地完成，消了半天的警星，只要把手柄给了他，过不了一会儿就消掉了，当时我觉得舅舅是世界上最厉害的人
后来他走了，30来岁，脑瘤，在当时很难治好
我也长大了，觉得游戏也没有很难了，也不常用Xbox玩Gta5了
2021年的时候，换了电脑，又买了一遍，现在OL也算是毕业了，成为了我小时候最敬佩的人的样子
前几天，我又把那台Xbox找了出来，想回味一下童年，却发现怎么也打不开了，它坏了，我的童年一并找不到了
对我舅舅的记忆也是
2024年7月26日，沈阳的雨下了一天，我对曾经我最敬佩的人的思念也持续了一天
舅舅啊，你当时最疼我了，可是为什么现在却不肯让我在梦里再见你一次呢？",1721985328,1721985432,True,2190,40,0.982396364212036133,26,True,False,False,False,76561199086650476,96,4,70069,0,70069,1719149650,,271590,20241127_154138,100
169388457,schinese,等了6年了，终于玩上了这个游戏，也顺利通关了，从2018年听别人说起这个游戏开始，我就一直在寻找它，小时候一直搜手机版，总是找不到，之后听别人说在steam里面有，后来办了一个账号，买了这个游戏，终于完上了，等了6年，愿望终于在2024年实现了！,1720503744,1720503744,True,677,80,0.963193297386169434,12,True,False,False,True,76561199500380299,9,1,3723,0,3175,1729421274,2961.0,271590,20241127_154138,100
173502907,schinese,"线上广告真烦人，如何屏蔽线上广告具体操作如下 ： 
在线上模式按ESC点设置→点左边的 显示→找到 显示文本聊天 ，关闭即可！ 告别烦人的广告",1724739179,1724739179,True,236,6,0.943629860877990723,0,True,False,False,False,76561199759710872,0,1,5948,0,2701,1729520469,,271590,20241127_154138,100
175366853,schinese,"超越时代的神作。玩了60个小时通关了故事模式，最后选择了合家欢结局，世上没有完美的人，不管是老麦，崔佛，还是小富，但可以拥有一个完美的结局。也算是给童年玩罪恶都市的我画上一个完美的句号了。
当我漫无目的地开着跑车在洛圣都乱逛，电台响起无止境流行电台的音乐，这种感觉仿佛回到了小时候表哥带我玩罪恶都市的那个快乐的下午，在游戏中享受纯粹的快乐。可惜再也回不到那个一起坐在电脑前玩gta的那个下午了。
欲买桂花同载酒，终不似，少年游。
",1726832791,1726832791,True,320,22,0.943174839019775391,0,True,False,False,False,76561199335626592,124,20,3701,0,3701,1726832149,,271590,20241127_154138,100
177156914,english,"GTA V singleplayer
100% fun

GTA V online
40% loading screens
20% actually playing
20% players leaving heists
20% ""network error"" (potato servers)",1729089531,1729089531,True,334,54,0.939886927604675293,4,True,False,False,False,76561198104032233,3036,16,69963,0,69963,1678387274,,271590,20241127_154138,100
177520624,schinese,一个赞封一个挂逼，这个游戏真的好玩，自由度很高而且怎么玩也玩不腻，可以来我们这里一起交流学习 Q群656305111,1729602363,1729602363,True,442,17,0.931696176528930664,0,True,False,False,False,76561198816213674,64,2,5642,0,4411,1731253301,,271590,20241127_154138,100
172336099,russian,"Есть сескизм, расизм (к примеру майкел может играть в теннис, тревор также может играть в теннис, франклин не может играть в теннис), ущемление женских прав, ущемление лгбт. Все что нужно для жизни нормального здорового человека. Всем советую.",1723919142,1723919142,True,305,50,0.920955419540405273,0,True,False,False,False,76561199234183923,75,3,105656,6122,60137,1732658461,,271590,20241127_154138,100
170871665,schinese,线上模式不够真实，赚钱太慢了，我选的是个女性角色，明明只要结婚再离婚就能赚到一大笔钱，却只能靠做任务和工作打杂赚钱,1722075176,1722075176,True,1366,984,0.916711032390594482,54,True,False,False,False,76561199146212780,0,5,24964,0,11738,1726935474,,271590,20241127_154138,100
156412812,english,"[b] Gameplay breakdown: [/b]
10% shooting
20% heists
40% driving
[u] 130% loading & initializing [/u]",1705787279,1705787356,True,258,106,0.915741503238677979,6,True,False,False,False,76561199030996232,0,14,4399,0,2050,1711068901,,271590,20241127_154138,100
175190884,english,"After 11 years of rampant cheating, they decided to add an anti cheat yesterday. 
They picked on that is not compatible with linux, unless they literally check a box, which they did not do and said they will not do. So all linux users, including all steam decks, now cant play the game. just straight up locked out. I will be trying to get my money back, and you'll never catch me giving Rockstar money ever again. This is the last straw for me. I do not reccoment this game, or red dead, or gta 6. This company will cheat you out of every cent they can.",1726594963,1726594963,False,997,33,0.914045929908752441,0,True,False,False,True,76561198048565866,0,1,11926,0,11924,1726630308,11924.0,271590,20241127_154138,100
