recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,appid,fetch_date,total_reviews
176988416,"{'steamid': '76561199131230807', 'num_games_owned': 14, 'num_reviews': 3, 'playtime_forever': 21162, 'playtime_last_two_weeks': 9, 'playtime_at_review': 20065, 'last_played': 1731741295}",english,"Picture this,

It is 7 PM on a tuesday. and you had the most stressful day of the month. You sit, log on steam, open left 4 dead two, and choose to fight a horde of teletubbies while welding not only a diamond sword, but Doomslayer's shotgun, all while playing as peter griffin, with goku, masterchief, and barney the dinosaur by your side; all while you down cheese burgers, covid shots, throwing Mario 64 toads to lure the teletubbies away, and you use a baja blast sponsored chest paddles to revive goku, all while releasing lead at the grandma from Coco.

Absolute Cinema",1728841997,1728841997,True,248,116,0.928132772445678711,3,True,False,False,False,550,20241129_073646,20
162402185,"{'steamid': '76561198034182523', 'num_games_owned': 915, 'num_reviews': 19, 'playtime_forever': 8191, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7622, 'last_played': 1720477366}",english,I met my husband playing L4D2. Great game. He constantly killed me in the safe room making sure the game was never truely safe for me. 10/10 would die in the safe room again.,1712485964,1712485964,True,237,79,0.938192844390869141,5,False,False,False,False,550,20241129_073646,20
154987904,"{'steamid': '76561198018369520', 'num_games_owned': 52, 'num_reviews': 46, 'playtime_forever': 182, 'playtime_last_two_weeks': 0, 'playtime_at_review': 182, 'last_played': 1389053083}",english,"One of the best co-op games to play with friends out there, the amount of customization & mods is unreal as well! 12/10.",1704127095,1704127095,True,117,0,0.881637334823608398,5,False,False,False,False,550,20241129_073646,20
175829693,"{'steamid': '76561199557759561', 'num_games_owned': 42, 'num_reviews': 4, 'playtime_forever': 371141, 'playtime_last_two_weeks': 0, 'playtime_at_review': 365933, 'last_played': 1727708100}",english,"A game that was part of all us childhood, we enjoyed each moment we played with our friends and getting jump scares from different maps.",1727377015,1727377015,True,104,5,0.860289931297302246,7,True,False,False,False,550,20241129_073646,20
179152201,"{'steamid': '76561199395711145', 'num_games_owned': 37, 'num_reviews': 67, 'playtime_forever': 157, 'playtime_last_two_weeks': 157, 'playtime_at_review': 146, 'last_played': 1731767665}",english,"I shot a zombie in the stomach as it was running past me. It's intestines fell out, and they trailed behind it as it stumbled for a few meters before dying.

To think how far the industry has fallen since 2009.",1731767614,1731767614,True,190,10,0.896738827228546143,3,False,False,False,False,550,20241129_073646,20
177619210,"{'steamid': '76561199242977858', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 22810, 'playtime_last_two_weeks': 3593, 'playtime_at_review': 21471, 'last_played': 1732809228}",english,This game is great i used to play it when i was younger and playing it now it just brings back so many memories its not even funny i just wish valve would make a remake or a more updated version of this game to really drive it home but overall this game is amazing would love to see new people try it and mainly all they need to do is fix the servers but other than that the game is great.,1729736252,1732469801,True,73,5,0.843209385871887207,0,True,False,False,False,550,20241129_073646,20
172278757,"{'steamid': '76561198058678183', 'num_games_owned': 28, 'num_reviews': 10, 'playtime_forever': 1869, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1869, 'last_played': 1672773620}",english,"[h1] PROS: [/h1]
[b] Nice graphics [/b]
[b] Good atmosphere [/b]
[b] Lots of weapons, zombies, super zombies, maps [/b]
[b] Good story with funny quotes [/b]
[b] With difficulties [/b]
[b] With achievements [/b]
[b] Co-op campaing & multiplayer [/b]

[h1] CONS: [/h1]
[b] None [/b]",1723847877,1723849406,True,65,8,0.840152382850646973,4,True,False,False,False,550,20241129_073646,20
155500112,"{'steamid': '76561198827112545', 'num_games_owned': 2417, 'num_reviews': 912, 'playtime_forever': 2726, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2726, 'last_played': 1640992951}",english,"Since its release in 2009, 
L4D2 is still going strong, standing as an active game even today.",1704654156,1704654156,True,68,0,0.813757121562957764,2,True,False,False,False,550,20241129_073646,20
173595814,"{'steamid': '76561198292492509', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 203571, 'playtime_last_two_weeks': 210, 'playtime_at_review': 197559, 'last_played': 1732764646}",english,"Easily the best game ever.  How is this still on your wishlist?  What, you're waiting for a better zombie game?  Fat chance, you have a better chance of being struck by lightning.  And with mods in this, you can be.  Every other zombie game, nay, every other game, can suck it.",1724823863,1724823863,True,50,6,0.811918079853057861,0,True,False,False,False,550,20241129_073646,20
172934537,"{'steamid': '76561198822610014', 'num_games_owned': 134, 'num_reviews': 30, 'playtime_forever': 4601, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4601, 'last_played': 1640851200}",english,"---{ Graphics }---
☐ You forget what reality is
☐ Beautiful
☐ Good
☑ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☐ Very good
☑ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☑ Teens
☑ Adults
☐ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☑ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☐ Floppy Disk
☑ Old Fashioned
☐ Workable
☐ Big
☐ Will eat 10% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☐ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☑ Easy to learn / Hard to master
☐ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☑ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☐ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☐ Some lore
☐ Average
☑ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☑ Average
☐ Long
☐ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☑ Never heard of
☐ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☑ 9
☐ 10",1724310262,1724310262,True,125,15,0.810916483402252197,0,True,False,False,False,550,20241129_073646,20
