topic_id,words,scores
0,"['first', 'different', 'loved', 'change', 'second', 'playthrough', 'havent', 'finished', 'yet', 'every']","[0.16616748, 0.047855638, 0.04662629, 0.046584688, 0.046076607, 0.045692448, 0.04510713, 0.035013802, 0.03440079, 0.033175908]"
1,"['bug', 'loading', 'excellent', 'fixed', 'glitch', 'storyline', 'crashed', 'breaking', 'top', 'issue']","[0.2579061, 0.081976734, 0.073193036, 0.05597749, 0.04703782, 0.03951367, 0.038944177, 0.03486435, 0.032883726, 0.030956872]"
2,"['fighting', 'third', 'win', 'fine', 'blast', 'pay', 'button', 'except', 'opening', 'spam']","[0.10633531, 0.078843, 0.07415857, 0.06898271, 0.064818956, 0.06187251, 0.04989277, 0.043168955, 0.030760579, 0.02896728]"
3,"['experience', 'gaming', 'truly', 'achievement', 'simply', 'detail', 'newcomer', 'deserves', 'unique', 'industry']","[0.31898794, 0.11178481, 0.086600445, 0.04781279, 0.035180748, 0.02465836, 0.01788454, 0.017748104, 0.016318128, 0.01619692]"
4,"['age', 'fan', 'divinity', 'past', 'minute', 'every', 'giant', 'ally', 'obsessed', 'show']","[0.33072883, 0.21102595, 0.10021446, 0.09317234, 0.071008876, 0.0382482, 0.019377548, 0.0141911935, 0.012864603, 0.012074407]"
5,"['set', 'fantasy', 'high', 'bar', 'standard', 'health', 'thousand', 'live', 'bullshit', 'million']","[0.10637457, 0.10089774, 0.07595679, 0.057772532, 0.043515865, 0.037383333, 0.035329584, 0.031884864, 0.029122975, 0.028676039]"
6,"['old', 'big', 'warrior', 'magic', 'sex', 'movie', 'say', 'cant', 'home', 'nowhere']","[0.19627512, 0.15353991, 0.055549543, 0.044107396, 0.029508831, 0.027985768, 0.027396357, 0.020806532, 0.020477343, 0.017667009]"
7,"['story', 'gameplay', 'character', 'graphic', 'combat', 'interesting', 'beautiful', 'mechanic', 'challenging', 'style']","[0.22308676, 0.08291133, 0.08226562, 0.058201417, 0.046445422, 0.03664242, 0.035048123, 0.020159364, 0.01730823, 0.016928863]"
8,"['mod', 'fix', 'unplayable', 'devs', 'without', 'broken', 'hope', 'patch', 'near', 'break']","[0.28780058, 0.09951159, 0.065424606, 0.064455956, 0.042931665, 0.039918054, 0.0373011, 0.02461464, 0.021451583, 0.01997098]"
9,"['feel', 'bioware', 'feeling', 'lack', 'doesnt', 'dont', 'rather', 'repetitive', 'make', 'personally']","[0.3907748, 0.04830185, 0.0327841, 0.027753875, 0.024674578, 0.023031482, 0.02212873, 0.02212616, 0.02180111, 0.017328084]"
10,"['content', 'amount', 'insane', 'joy', 'currency', 'gold', 'possibility', 'cost', 'combo', 'familiar']","[0.20376849, 0.14365819, 0.059973605, 0.044997532, 0.03203527, 0.028465733, 0.028179204, 0.02540983, 0.02398035, 0.021616314]"
11,"['act', 'inventory', 'fast', 'easier', 'becomes', 'end', 'quickly', 'location', 'mistake', 'clear']","[0.20873062, 0.038621835, 0.03154275, 0.028401613, 0.027006106, 0.025656855, 0.01956227, 0.01731224, 0.016673123, 0.014993045]"
12,"['world', 'open', 'may', 'explore', 'building', 'exploring', 'linear', 'find', 'immersive', 'tip']","[0.28494623, 0.15196295, 0.06598661, 0.054866184, 0.03703018, 0.022229688, 0.02222751, 0.02062589, 0.01749174, 0.015117851]"
13,"['enemy', 'kill', 'fight', 'every', 'hit', 'damage', 'cant', 'trash', 'combat', 'youre']","[0.10387535, 0.042369373, 0.02662812, 0.020296367, 0.018118838, 0.018116137, 0.016377687, 0.015779894, 0.015242985, 0.014033528]"
14,"['looking', 'masterpiece', 'absolute', 'forward', 'art', 'shame', 'piece', 'together', 'straight', 'history']","[0.1403353, 0.1311838, 0.09927634, 0.07405351, 0.058535293, 0.039075233, 0.03639652, 0.030733133, 0.027137933, 0.023582375]"
15,"['turn', 'based', 'campaign', 'fromsoftware', 'gotten', 'immediately', 'changing', 'slog', 'frustration', 'avoid']","[0.24314602, 0.16089289, 0.1203791, 0.061254255, 0.039484788, 0.036305852, 0.027026094, 0.026475867, 0.024794158, 0.022912737]"
16,"['group', 'died', 'death', 'hardcore', 'telling', 'medieval', 'pace', 'okay', 'respect', 'blood']","[0.0967308, 0.08239699, 0.07747133, 0.059305947, 0.05662243, 0.05441186, 0.052938454, 0.0505712, 0.050111547, 0.04984221]"
17,"['defeat', 'war', 'water', 'sense', 'jump', 'min', 'buff', 'app', 'ground', 'spirit']","[0.16198885, 0.059750553, 0.039481286, 0.038764603, 0.036280658, 0.03491498, 0.029235974, 0.026675934, 0.023109378, 0.02253498]"
18,"['help', 'ton', 'special', 'none', 'unfair', 'solution', 'afraid', 'helped', 'reset', 'popular']","[0.24603921, 0.19326757, 0.07336619, 0.063351996, 0.05663463, 0.04845177, 0.026073886, 0.023134308, 0.02008849, 0.019344613]"
19,"['crash', 'run', 'issue', 'problem', 'fix', 'fps', 'setting', 'every', 'performance', 'computer']","[0.21719164, 0.12306872, 0.09245655, 0.035555016, 0.03393781, 0.031566285, 0.03122728, 0.030060299, 0.024826057, 0.022050532]"
20,"['read', 'book', 'instead', 'general', 'reading', 'older', 'product', 'score', 'knowledge', 'quick']","[0.04455479, 0.04010592, 0.033413496, 0.032761943, 0.029829966, 0.0283693, 0.021337707, 0.019724645, 0.019447092, 0.018651027]"
21,"['frustrating', 'extremely', 'mechanic', 'tutorial', 'understand', 'requires', 'friendly', 'order', 'difficult', 'learned']","[0.10839212, 0.097734615, 0.09119108, 0.052279543, 0.048127346, 0.045267973, 0.025580041, 0.025496878, 0.024208635, 0.023160227]"
22,"['next', 'peak', 'starting', 'download', 'addictive', 'star', 'listen', 'interest', 'turned', 'watching']","[0.17502427, 0.05941874, 0.05246121, 0.040670685, 0.037978344, 0.034506597, 0.033118844, 0.03235095, 0.03164938, 0.030819086]"
23,"['enjoy', 'time', 'youll', 'tried', 'multiple', 'youre', 'youve', 'others', 'probably', 'close']","[0.16659631, 0.07563426, 0.06737694, 0.06724763, 0.050523356, 0.027463078, 0.026361125, 0.025754353, 0.02189893, 0.020975338]"
24,"['member', 'crpg', 'city', 'night', 'town', 'sell', 'destroy', 'league', 'steal', 'cyberpunk']","[0.08965211, 0.074804865, 0.0522494, 0.040385284, 0.031444922, 0.02711198, 0.02448379, 0.02414137, 0.021191452, 0.019815601]"
25,"['new', 'fallout', 'vega', 'fuck', 'hot', 'better', 'stone', 'soldier', 'lmao', 'pc']","[0.50635976, 0.16051227, 0.07490774, 0.06514208, 0.021545248, 0.013322744, 0.010707907, 0.009580114, 0.009485869, 0.009307273]"
26,"['dragon', 'series', 'hesitation', 'disappointed', 'fair', 'beaten', 'figured', 'compare', 'per', 'share']","[0.3891321, 0.23608276, 0.09855714, 0.02944277, 0.022081317, 0.018363355, 0.015393247, 0.015149641, 0.013751754, 0.012568277]"
27,"['armor', 'spell', 'please', 'annoying', 'worse', 'cast', 'copy', 'hair', 'whenever', 'failed']","[0.16094005, 0.11842438, 0.092934854, 0.07683685, 0.06504595, 0.030413335, 0.025498671, 0.02536793, 0.023804935, 0.02238036]"
