topic_id,words,topic_name
0,"['first', 'different', 'loved', 'change', 'second', 'playthrough', 'havent', 'finished', 'yet', 'every']",First & Different Playthroughs
1,"['bug', 'loading', 'excellent', 'fixed', 'glitch', 'storyline', 'crashed', 'breaking', 'top', 'issue']","Buggy Game Issues: Loading, Crashing"
2,"['fighting', 'third', 'win', 'fine', 'blast', 'pay', 'button', 'except', 'opening', 'spam']",Third Party Fighting Game Blast
3,"['experience', 'gaming', 'truly', 'achievement', 'simply', 'detail', 'newcomer', 'deserves', 'unique', 'industry']",Gaming Achievement Experience Detail
4,"['age', 'fan', 'divinity', 'past', 'minute', 'every', 'giant', 'ally', 'obsessed', 'show']",Giant Ally Fan Divinity Show
5,"['set', 'fantasy', 'high', 'bar', 'standard', 'health', 'thousand', 'live', 'bullshit', 'million']",High Fantasy Bar Health Standards
6,"['old', 'big', 'warrior', 'magic', 'sex', 'movie', 'say', 'cant', 'home', 'nowhere']",Old Warrior's Magic Movie
7,"['story', 'gameplay', 'character', 'graphic', 'combat', 'interesting', 'beautiful', 'mechanic', 'challenging', 'style']",Story-Driven Combat Game with Style
8,"['mod', 'fix', 'unplayable', 'devs', 'without', 'broken', 'hope', 'patch', 'near', 'break']",Broken Game Fixes Needed
9,"['feel', 'bioware', 'feeling', 'lack', 'doesnt', 'dont', 'rather', 'repetitive', 'make', 'personally']",Bioware's Emotional Repetitive Feel
10,"['content', 'amount', 'insane', 'joy', 'currency', 'gold', 'possibility', 'cost', 'combo', 'familiar']",Gold Combo: Content & Cost
11,"['act', 'inventory', 'fast', 'easier', 'becomes', 'end', 'quickly', 'location', 'mistake', 'clear']",Fast Inventory Act Location
12,"['world', 'open', 'may', 'explore', 'building', 'exploring', 'linear', 'find', 'immersive', 'tip']",Explore the World: Open Building
13,"['enemy', 'kill', 'fight', 'every', 'hit', 'damage', 'cant', 'trash', 'combat', 'youre']",Combat and Enemy Annihilation
14,"['looking', 'masterpiece', 'absolute', 'forward', 'art', 'shame', 'piece', 'together', 'straight', 'history']",Looking at Art History
15,"['turn', 'based', 'campaign', 'fromsoftware', 'gotten', 'immediately', 'changing', 'slog', 'frustration', 'avoid']",Turn-Based FromSoftware Campaign Frustration
16,"['group', 'died', 'death', 'hardcore', 'telling', 'medieval', 'pace', 'okay', 'respect', 'blood']",Medieval Hardcore Death Pace
17,"['defeat', 'war', 'water', 'sense', 'jump', 'min', 'buff', 'app', 'ground', 'spirit']",War of the Water Spirit
18,"['help', 'ton', 'special', 'none', 'unfair', 'solution', 'afraid', 'helped', 'reset', 'popular']","Help, Reset, and Unfair Solutions"
19,"['crash', 'run', 'issue', 'problem', 'fix', 'fps', 'setting', 'every', 'performance', 'computer']",Computer Performance Troubleshooting
20,"['read', 'book', 'instead', 'general', 'reading', 'older', 'product', 'score', 'knowledge', 'quick']",Quick Reading for Older Readers
21,"['frustrating', 'extremely', 'mechanic', 'tutorial', 'understand', 'requires', 'friendly', 'order', 'difficult', 'learned']",Difficult Mechanic Tutorials to Understand
22,"['next', 'peak', 'starting', 'download', 'addictive', 'star', 'listen', 'interest', 'turned', 'watching']",Next Star Listening Peak
23,"['enjoy', 'time', 'youll', 'tried', 'multiple', 'youre', 'youve', 'others', 'probably', 'close']","Enjoy Your Time, You've Tried"
24,"['member', 'crpg', 'city', 'night', 'town', 'sell', 'destroy', 'league', 'steal', 'cyberpunk']",Cyberpunk City League Night
25,"['new', 'fallout', 'vega', 'fuck', 'hot', 'better', 'stone', 'soldier', 'lmao', 'pc']",Fallout: New Vegas PC Soldier
26,"['dragon', 'series', 'hesitation', 'disappointed', 'fair', 'beaten', 'figured', 'compare', 'per', 'share']",Dragon Series: Fair Yet Beaten
27,"['armor', 'spell', 'please', 'annoying', 'worse', 'cast', 'copy', 'hair', 'whenever', 'failed']",Annoying Armor Spell Failures
28,"['ever', 'amazing', 'ive', 'greatest', 'seen', 'never', 'absolutely', 'incredible', 'favourite', 'easily']",Amazing Things I've Seen
29,"['character', 'story', 'companion', 'choice', 'dialogue', 'combat', 'decision', 'way', 'writing', 'different']",Character-Driven Story Choices
30,"['mode', 'edition', 'god', 'wrong', 'along', 'boy', 'rolling', 'destroyed', 'hey', 'library']",God's Edition Rolling Along Wrong
31,"['screen', 'stuck', 'sometimes', 'infinite', 'freeze', 'dying', 'properly', 'randomly', 'restart', 'horse']",Screen Freeze and Restart Issues
32,"['ring', 'elden', 'favorite', 'twice', 'shadow', 'xbox', 'besides', 'time', 'hated', 'sucked']",Elden Ring: Favorite & Hated Times
33,"['option', 'dialogue', 'path', 'npc', 'scene', 'battle', 'tough', 'cut', 'choose', 'interaction']",Dialogue-Driven Choice-Based Scenes
34,"['class', 'guide', 'honestly', 'excited', 'attempt', 'realize', 'expecting', 'knowing', 'exist', 'perfection']",Class Guide: Honestly Expecting Perfection
35,"['right', 'parry', 'figure', 'missing', 'isnt', 'eventually', 'alot', 'fell', 'exactly', 'suggest']",Right Parry Figure Event
36,"['could', 'make', 'wish', 'used', 'clunky', 'almost', 'rest', 'stick', 'better', 'mage']",Could Make Wish Better Mage
37,"['love', 'beat', 'working', 'crazy', 'put', 'cant', 'plenty', 'appreciate', 'exists', 'finally']","Love, Beat, and Finally Working"
38,"['previous', 'title', 'origin', 'compared', 'lore', 'bloodborne', 'chapter', 'shitty', 'background', 'comparing']",Bloodborne Lore Comparisons: Origins & Chapters
