topic_id,words,scores
0,"['mod', 'without', 'broken', 'base', 'hair', 'insane', 'physic', 'add', 'currently', 'dont']","[0.33384982, 0.10099736, 0.072664686, 0.042275645, 0.033880338, 0.029819418, 0.027300412, 0.021392632, 0.020924604, 0.020681512]"
1,"['run', 'setting', 'fps', 'graphic', 'performance', 'running', 'look', 'drop', 'issue', 'low']","[0.1618799, 0.06949098, 0.04551477, 0.04022148, 0.037763793, 0.034708284, 0.026539018, 0.022538494, 0.022103857, 0.021987116]"
2,"['rpg', 'voice', 'acting', 'writing', 'awesome', 'make', 'almost', 'pay', 'simulator', 'element']","[0.20935135, 0.12335087, 0.09995428, 0.07105172, 0.062564105, 0.05587948, 0.043143593, 0.040231932, 0.026034828, 0.024414757]"
3,"['enjoy', 'bit', 'quite', 'enjoyable', 'however', 'opinion', 'type', 'compared', 'found', 'experience']","[0.07506742, 0.053928833, 0.035188094, 0.028477091, 0.021982888, 0.021278566, 0.019906595, 0.018402034, 0.017772092, 0.017417613]"
4,"['old', 'series', 'piece', 'year', 'hand', 'hold', 'divinity', 'date', 'achievement', 'forget']","[0.22312815, 0.12189379, 0.09685757, 0.07106445, 0.06771037, 0.053876527, 0.039306883, 0.03464266, 0.026534948, 0.025126047]"
5,"['buggy', 'mess', 'stole', 'expected', 'cop', 'somewhat', 'funny', 'tough', 'infinite', 'gamebreaking']","[0.13134511, 0.107650265, 0.07406016, 0.060433425, 0.057471294, 0.05423913, 0.042026855, 0.038929004, 0.0322578, 0.018258955]"
6,"['dont', 'didnt', 'care', 'wanted', 'help', 'someone', 'way', 'maybe', 'thing', 'something']","[0.055746313, 0.037107937, 0.019425431, 0.016214298, 0.016057624, 0.015469104, 0.014035054, 0.01231538, 0.01119629, 0.010309227]"
7,"['different', 'time', 'thing', 'looking', 'forward', 'multiple', 'completely', 'list', 'way', 'hundred']","[0.1140497, 0.088222064, 0.06157344, 0.051423132, 0.05076797, 0.0411842, 0.037883867, 0.036339942, 0.03385536, 0.02298766]"
8,"['bethesda', 'friend', 'anymore', 'paid', 'con', 'dont', 'pro', 'store', 'greedy', 'gone']","[0.2260693, 0.09530806, 0.06013814, 0.055971757, 0.034990728, 0.034765016, 0.03453134, 0.03202933, 0.028238287, 0.026236298]"
9,"['youre', 'bioware', 'there', 'thats', 'something', 'dont', 'isnt', 'youll', 'stuff', 'ive']","[0.07256023, 0.059463385, 0.056993723, 0.043306805, 0.035385404, 0.0333813, 0.029047394, 0.023593837, 0.01927739, 0.01882476]"
10,"['give', 'child', 'told', 'show', 'gave', 'try', 'hoping', 'chance', 'greed', 'believe']","[0.055543162, 0.039022423, 0.028775848, 0.027717303, 0.026790313, 0.020472873, 0.020127341, 0.019825574, 0.019718055, 0.019441854]"
11,"['find', 'publisher', 'health', 'magic', 'simple', 'error', 'appear', 'bar', 'easier', 'town']","[0.07509444, 0.063936494, 0.054191235, 0.05040366, 0.03324488, 0.033166606, 0.031384088, 0.027377274, 0.023321021, 0.022247622]"
12,"['end', 'evil', 'lost', 'beginning', 'happened', 'started', 'left', 'connection', 'stopped', 'interest']","[0.11422222, 0.054802697, 0.046378165, 0.0368951, 0.03285211, 0.0316562, 0.02000375, 0.017879842, 0.017583445, 0.01566889]"
13,"['cant', 'wait', 'please', 'unplayable', 'past', 'enough', 'masterpiece', 'thank', 'sequel', 'euro']","[0.4168507, 0.090612076, 0.0718176, 0.055738505, 0.048130043, 0.036992397, 0.028224532, 0.02727773, 0.023686118, 0.020370908]"
