topic_id,words,scores
0,"['story', 'ever', 'combat', 'character', 'dont', 'feel', 'ive', 'love', 'world', 'amazing']","[0.19359576226373898, 0.15852990623801058, 0.15520274959783054, 0.15280650667456558, 0.14795627389598956, 0.14350668695743674, 0.12009470989830366, 0.11517598621835232, 0.10965602423956367, 0.10852973996091606]"
1,"['ever', 'ive', 'greatest', 'rpg', 'feel', 'crash', 'dragon', 'rpgs', 'age', 'character']","[-0.9393563461303555, -0.2044374330108927, -0.09051512887353373, -0.06635826744225189, 0.048054827473423864, 0.04554964434254293, 0.04056580803400492, -0.04011529585699865, 0.03753568953071106, 0.03560031864333938]"
2,"['crash', 'story', 'mod', 'amazing', 'boring', 'combat', 'fix', 'dragon', 'fallout', 'crashing']","[-0.7106253673429782, 0.20518755061136731, -0.18688005789902434, 0.17256386973163204, 0.14562163386840363, 0.14098928117680765, -0.12321621100233109, 0.12201295613895179, -0.11719114428610986, -0.11651486050389852]"
3,"['amazing', 'boring', 'love', 'crash', 'story', 'dont', 'graphic', 'fallout', 'ever', 'shit']","[-0.8315230116143012, 0.31640408681643944, -0.1825433096898953, -0.17995924636812233, -0.1739680640894922, 0.11326549062309399, -0.07520262060071922, -0.06257987860941755, 0.057492809353498174, 0.055405882366488274]"
4,"['boring', 'amazing', 'crash', 'story', 'overrated', 'combat', 'shit', 'dragon', 'age', 'gameplay']","[-0.8860918358434999, -0.23719439327809425, -0.23267914138634263, -0.10483831449851148, -0.08492767410977864, -0.07650772164699055, -0.07168513170396344, 0.0661205464938293, 0.06029232853029521, -0.0586688814755384]"
5,"['crash', 'dragon', 'age', 'amazing', 'love', 'story', 'hard', 'dont', 'shit', 'soul']","[0.3518676315241135, 0.34161287046148525, 0.31442552434807725, -0.3034378745798903, 0.28567991192880393, 0.20395294872376515, -0.18186721232963468, -0.18108034703405157, -0.16318960828197118, -0.1398534260481231]"
6,"['love', 'crash', 'dragon', 'fallout', 'age', 'amazing', 'skyrim', 'boring', 'shit', 'mod']","[0.8662526042113083, -0.23652584181259895, -0.13768804147270983, 0.1371088303799886, -0.12840623625744912, -0.12573708693289676, 0.09295964521977965, 0.09057939071147364, 0.08764455250352218, 0.07715889038813964]"
7,"['fallout', 'crash', 'love', 'mod', 'hard', 'launcher', 'shit', 'skyrim', 'dragon', 'vega']","[0.47266597214381817, -0.31252656434379683, -0.2630470142715198, 0.2038038651932845, -0.19072943583418003, 0.19037408614514129, 0.18580102829074235, 0.1685460246842981, 0.16319964159303227, 0.16073778780623807]"
8,"['fallout', 'shit', 'dragon', 'age', 'launcher', 'dont', 'vega', 'fuck', 'fucking', 'new']","[-0.5319169627510956, 0.48163368893009184, 0.23010319452892367, 0.2059141537352518, 0.2023459176097807, 0.19547319400889562, -0.1843964631975485, 0.15794205634294267, 0.14731073416432455, -0.13462134426008984]"
9,"['shit', 'fallout', 'story', 'combat', 'dont', 'skyrim', 'boring', 'dragon', 'amazing', 'fucking']","[-0.6210985145239266, -0.2881165641740838, -0.2847527818916985, -0.24718420550373504, 0.2334525590758994, 0.1780295283649514, 0.15937766369486062, 0.15464413146009098, 0.1459879591181821, -0.13970284050546622]"
10,"['skyrim', 'fallout', 'dont', 'story', 'dragon', 'age', 'hard', 'launcher', 'amazing', 'soul']","[0.42250402771127793, -0.3602883000045151, -0.33224468908898763, 0.2722937976578988, -0.25588683058214917, -0.23010949745121825, -0.21114416106726758, 0.17225580536097757, -0.1632210850995756, -0.14264082118737678]"
11,"['dont', 'story', 'launcher', 'skyrim', 'hard', 'bug', 'gameplay', 'poe', 'cant', 'money']","[-0.6736897258223309, -0.3036816931595453, 0.21868830553288177, -0.1886540923845305, -0.13392770028074114, -0.12914506667919953, -0.12687693800458066, 0.12618410195676472, 0.1166454736369816, -0.115329917923462]"
12,"['skyrim', 'launcher', 'story', 'shit', 'dragon', 'bug', 'age', 'gameplay', 'launch', 'mass']","[-0.7062206889067616, 0.3717309491582758, 0.22498806452344347, -0.2176020413240037, -0.141265919027726, 0.11941854585792432, -0.11882385259700512, 0.105063685849828, 0.10004565145148088, 0.09789505754921082]"
13,"['hard', 'dont', 'combat', 'bug', 'dragon', 'age', 'suck', 'grind', 'system', 'gameplay']","[-0.5889948678146759, 0.3526723343258764, 0.2754986911769085, -0.20255929931061434, -0.18178917147391582, -0.16284103132501992, 0.13586687324609162, -0.1315802354410401, 0.1303541286526561, -0.12370658652728807]"
14,"['launcher', 'combat', 'skyrim', 'suck', 'hard', 'bug', 'shit', 'crashing', 'fallout', 'crash']","[0.5795258841960809, 0.30715074341387394, 0.26656672778973833, 0.2356735970354556, 0.23408928996814232, -0.18259830121064718, -0.1796066272911732, -0.16976722427905805, 0.14393682924569526, 0.12652836184102983]"
15,"['combat', 'masterpiece', 'suck', 'hard', 'shit', 'mod', 'cant', 'crashing', 'launcher', 'system']","[-0.4060049538824709, 0.29567440273945067, -0.2867921616915091, -0.23936953033804698, 0.22521032710001943, -0.2235028442731846, -0.19740872214884855, -0.17930705506543157, 0.17246798819645476, -0.1482848277815011]"
16,"['masterpiece', 'suck', 'mod', 'poe', 'soul', 'launcher', 'elden', 'ring', 'skyrim', 'crashing']","[-0.5262319226057307, -0.3252653324007738, -0.268074051851481, 0.24441958893105592, -0.21959290289435848, 0.20588171400527472, -0.19570725782986184, -0.19101187462341512, 0.18066564242080063, -0.15486677880531613]"
17,"['mass', 'effect', 'cant', 'launcher', 'mod', 'trilogy', 'hard', 'masterpiece', 'poe', 'dragon']","[0.5099964756954875, 0.48139799230124775, -0.270654042005525, -0.23804683923529482, 0.20651068613420193, 0.1832507224687858, 0.18083372799740338, -0.13721983230724358, 0.12965450205441276, -0.1193547354455584]"
18,"['suck', 'mod', 'fucking', 'combat', 'launcher', 'cant', 'hard', 'shit', 'as', 'skyrim']","[-0.5755839181788749, 0.43970881611802054, -0.28181139872683647, 0.2752161659035734, 0.18212758568072324, -0.16884523078988628, 0.12256517071749748, 0.12042274561246206, -0.11777707006395421, -0.1151747877330988]"
19,"['hard', 'masterpiece', 'soul', 'mod', 'elden', 'ring', 'story', 'baldurs', 'gate', 'dark']","[0.4502622110108356, 0.3937671003784768, -0.33853156468814144, -0.21206445950829694, -0.2074147410066224, -0.20342725044539534, -0.17400072796302948, 0.17148294789743243, 0.17134620034984602, -0.16130340818158517]"
20,"['cant', 'suck', 'poe', 'mass', 'mod', 'effect', 'crashing', 'yes', 'better', 'launcher']","[0.3852536058646881, -0.2988253880632488, -0.28084436928002904, 0.26591200266313175, -0.265665000696184, 0.2429179392726041, 0.22871456921046482, -0.1821724187868348, -0.16941386972451022, -0.16716576578101036]"
21,"['bug', 'combat', 'story', 'hard', 'mod', 'masterpiece', 'system', 'fuck', 'cant', 'crashing']","[-0.4259439240137414, -0.3502580333723621, 0.31230124104606805, 0.2446333131781925, 0.1917244083362677, -0.1728027932145213, -0.1470904328748118, 0.14105633919027052, 0.13820449885168395, 0.13503576683269364]"
